experiment_id,management,crop_type,crop_season,species,species_mix,cultivar,cultivar_mix,density_level,density_relative,density_factor,interrow,mixing_pattern,code_row,mixture_design,sowing_date,harvest_date,N_amount,N_fertilisation_number,N_fertilisation_dose_1,N_fertilisation_dose_2,N_fertilisation_dose_3,N_fertilisation_date_1,N_fertilisation_date_2,N_fertilisation_date_3,N_fertilisation_type,N_fertiliser,irrigation_amount,P_amount,pest_control
Angers_fnams_2003,M7,IC,spring,pea,barley_pea,baccara,scarlett_baccara,80,1,0.5_1,0.15,alternate_row,1_1,additive,2003-03-12,2003-07-08,0,0,0,NA,NA,NA,NA,NA,NA,NA,105,0,yes
Angers_fnams_2003,M8,IC,spring,pea,barley_pea,baccara,scarlett_baccara,80,1,0.5_1,0.15,alternate_row,1_1,additive,2003-03-12,2003-07-08,130,1,130,NA,NA,2003-03-12,NA,NA,mineral,NH4NO3,105,0,yes
Angers_jailliere_2007,M1,SC,winter,wheat_aestivum,wheat_aestivum,cezanne,cezanne,260,1,1,0.175,NA,NA,NA,2006-10-31,2007-06-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,yes
Angers_jailliere_2007,M2,SC,winter,wheat_aestivum,wheat_aestivum,cezanne,cezanne,260,1,1,0.175,NA,NA,NA,2006-10-31,2007-06-29,190,3,80,70,40,2007-03-14,2007-03-26,2007-04-27,mineral,NH4NO3,0,0,yes
Angers_jailliere_2007,M3,SC,winter,wheat_aestivum,wheat_aestivum,cezanne,cezanne,260,1,1,0.175,NA,NA,NA,2006-10-31,2007-06-29,45,1,45,NA,NA,2007-03-14,NA,NA,mineral,NH4NO3,0,0,yes
Angers_jailliere_2007,M4,SC,winter,pea,pea,lucy,lucy,80,1,1,0.175,NA,NA,NA,2006-10-31,2007-06-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,yes
Angers_jailliere_2007,M5,IC,winter,wheat_aestivum,wheat_aestivum_pea,cezanne,cezanne_lucy,130,0.5,0.5_0.5,0.175,within_row,NA,substitutive,2006-10-31,2007-06-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,yes
Angers_jailliere_2007,M6,IC,winter,wheat_aestivum,wheat_aestivum_pea,cezanne,cezanne_lucy,130,0.5,0.5_0.5,0.175,within_row,NA,substitutive,2006-10-31,2007-06-29,45,1,45,NA,NA,2007-03-14,NA,NA,mineral,NH4NO3,0,0,yes
Angers_jailliere_2007,M7,IC,winter,wheat_aestivum,wheat_aestivum_pea,cezanne,cezanne_lucy,130,0.5,0.5_0.5,0.175,within_row,NA,substitutive,2006-10-31,2007-06-29,45,1,45,NA,NA,2007-03-14,NA,NA,organic,cattle_manure,0,0,yes
Angers_jailliere_2007,M8,IC,winter,wheat_aestivum,wheat_aestivum_pea,cezanne,cezanne_lucy,130,0.5,0.5_0.5,0.175,within_row,NA,substitutive,2006-10-31,2007-06-29,30,1,30,NA,NA,2007-04-06,NA,NA,mineral,NH4NO3,0,0,yes
