species_mix_wheat_aestivum_lentil,density_n_ratio,plant_density,soil_water_capacity,density_error,nitrogen_residual,total_precipitation,n_amount,growing_days,stress_index,soil_ph,soil_awc,irrigation_amount,GDD,high_humidity_days,heat_stress_days,crop_season_winter
1.0,0.0,203.03030303030303,-0.524,-21.96969696969697,31.227477029670656,1547.32,0.0,129.0,0.5164869029275809,7.9,294.0,0.0,1504.2133356164384,281.0,63.0,0.0
0.0,0.0,140.4320987654321,-0.51,0.4320987654321016,41.0,1674.71,0.0,247.0,0.6461149020471055,8.1,230.0,0.0,2880.709302325581,338.0,81.0,1.0
0.0,0.3022119341563786,24.17695473251029,-0.3668736568745356,-5.823045267489711,35.0,1538.94,80.0,237.0,0.6160026414263702,7.393333333333333,291.5,0.0,2715.5995684931504,336.0,75.0,1.0
0.0,0.0,38.33333333333334,0.236,-6.666666666666657,42.0,1440.75,0.0,113.0,0.4460708782742681,6.6,291.5,0.0,629.0810616438356,579.0,0.0,0.0
0.0,0.0,133.7448559670782,-0.51,-6.255144032921805,41.0,1674.71,0.0,247.0,0.6461149020471055,8.1,230.0,0.0,2880.709302325581,338.0,81.0,1.0
0.0,0.0,109.21717171717172,0.3142,-20.78282828282828,64.5,1636.91,0.0,241.0,0.4375889647076088,6.3,291.5,0.0,2317.0895479452056,500.0,11.0,1.0
1.0,0.0,230.3030303030303,-0.524,-69.69696969696969,31.227477029670656,1547.32,0.0,123.0,0.5164869029275809,7.9,294.0,0.0,1434.2499246575342,281.0,63.0,0.0
1.0,0.0,85.85858585858587,-0.524,10.858585858585869,31.227477029670656,1547.32,0.0,123.0,0.5164869029275809,7.9,294.0,0.0,1434.2499246575342,281.0,63.0,0.0
0.0,0.2561129618742788,35.855814662399034,-0.51,0.8558146623990339,41.0,1674.71,140.0,247.0,0.6461149020471055,8.1,230.0,0.0,2880.709302325581,338.0,81.0,1.0
0.0,0.0,76.25,0.36205,-13.75,74.1,1454.77,0.0,129.0,0.4296720228923618,6.8,291.5,0.0,1018.7594117647058,465.0,15.0,0.0
0.0,0.0,115.83333333333334,0.236,-34.16666666666666,42.0,1440.75,0.0,113.0,0.4460708782742681,6.6,291.5,0.0,629.0810616438356,579.0,0.0,0.0
1.0,0.0,129.29292929292927,-0.524,-20.707070707070727,31.227477029670656,1547.32,0.0,123.0,0.5164869029275809,7.9,294.0,0.0,1434.2499246575342,281.0,63.0,0.0
