experiment_id,management,crop_type,crop_season,plant_family,species,species_mix,sowing_date,harvest_date,biomass_seed,plant_density,density_relative,density_factor,n_amount,cultivar,cultivar_mix,cultivar_management,cultivar_mix_management,density_factor_management,interrow,mixing_pattern,code_row,mixture_design,n_fertilisation_type,n_fertiliser,irrigation_amount,p_amount,pest_control,country,site,plot_name,plot_long,soil_awc,soil_clay,soil_sand,soil_silt,soil_ph,previous_crop,nitrogen_residual,heat_stress_days,total_precipitation,total_solar_radiation,high_humidity_days,growing_days,density_error,density_n_ratio,crowding,soil_water_capacity,NUE,GDD
Angers_jailliere_2007,M6,IC,winter,cereal,wheat_aestivum,wheat_aestivum_pea,2006-10-31,2007-06-29,4.018553459119497,117.739898989899,0.5,0.5_0.5,45,cezanne,cezanne_lucy,cezanne,cezanne_lucy,0.5_0.5,0.175,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.164,0.261,0.575,6.3,unknown,64.5,11,1636.91,9026.1,500,241,-12.260101010100996,2.6164421997755336,0,0.31420000000000003,0.08930118798043327,2317.0895479452056
Angers_jailliere_2007,M7,IC,winter,legume,pea,wheat_aestivum_pea,2006-10-31,2007-06-29,2.92555534591195,32.82828282828283,0.5,0.5_0.5,45,lucy,cezanne_lucy,lucy,cezanne_lucy,0.5_0.5,0.175,within_row,na,substitutive,organic,cattle_manure,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.164,0.261,0.575,6.3,unknown,64.5,11,1636.91,9026.1,500,241,-7.1717171717171695,0.7295173961840629,0,0.31420000000000003,0.06501234102026555,2317.0895479452056
Angers_jailliere_2007,M7,IC,winter,cereal,wheat_aestivum,wheat_aestivum_pea,2006-10-31,2007-06-29,3.525314465408807,112.68939393939392,0.5,0.5_0.5,45,cezanne,cezanne_lucy,cezanne,cezanne_lucy,0.5_0.5,0.175,within_row,na,substitutive,organic,cattle_manure,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.164,0.261,0.575,6.3,unknown,64.5,11,1636.91,9026.1,500,241,-17.310606060606077,2.504208754208754,0,0.31420000000000003,0.07834032145352904,2317.0895479452056
Angers_jailliere_2007,M8,IC,winter,legume,pea,wheat_aestivum_pea,2006-10-31,2007-06-29,3.001439937106917,31.25,0.5,0.5_0.5,30,lucy,cezanne_lucy,lucy,cezanne_lucy,0.5_0.5,0.175,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.164,0.261,0.575,6.3,unknown,64.5,11,1636.91,9026.1,500,241,-8.75,1.0416666666666667,0,0.31420000000000003,0.1000479979035639,2317.0895479452056
Angers_jailliere_2007,M8,IC,winter,cereal,wheat_aestivum,wheat_aestivum_pea,2006-10-31,2007-06-29,3.1010062893081765,105.90277777777776,0.5,0.5_0.5,30,cezanne,cezanne_lucy,cezanne,cezanne_lucy,0.5_0.5,0.175,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.164,0.261,0.575,6.3,unknown,64.5,11,1636.91,9026.1,500,241,-24.097222222222243,3.530092592592592,0,0.31420000000000003,0.10336687631027255,2317.0895479452056
Angers_jailliere_2007,M9,IC,winter,legume,pea,wheat_aestivum_pea,2006-10-31,2007-06-29,2.8655044025157235,35.195707070707066,0.5,0.5_0.5,45,lucy,cezanne_lucy,lucy,cezanne_lucy,0.5_0.5,0.175,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.164,0.261,0.575,6.3,unknown,64.5,11,1636.91,9026.1,500,241,-4.804292929292934,0.7821268237934903,0,0.31420000000000003,0.06367787561146052,2317.0895479452056
Angers_jailliere_2007,M9,IC,winter,cereal,wheat_aestivum,wheat_aestivum_pea,2006-10-31,2007-06-29,3.48575471698113,117.10858585858584,0.5,0.5_0.5,45,cezanne,cezanne_lucy,cezanne,cezanne_lucy,0.5_0.5,0.175,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.164,0.261,0.575,6.3,unknown,64.5,11,1636.91,9026.1,500,241,-12.89141414141416,2.6024130190796853,0,0.31420000000000003,0.077461215932914,2317.0895479452056
Angers_jailliere_2008,M1,SC,winter,cereal,wheat_aestivum,wheat_aestivum,2007-10-26,2008-07-04,4.76212522045855,235.8906525573192,1.0,1,0,cezanne,cezanne,cezanne,cezanne,1,0.18,na,na,na,na,na,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,-24.109347442680786,inf,0,0.31370000000000003,,1631.112229822161
Angers_jailliere_2008,M10,IC,winter,legume,pea,wheat_aestivum_pea,2007-10-26,2008-07-04,2.7419753086419765,38.80070546737213,0.5,0.5_0.5,90,lucy,cezanne_lucy,lucy,cezanne_lucy,0.5_0.5,0.18,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,-1.1992945326278672,0.43111894963746816,0,0.31370000000000003,0.030466392318244183,1631.112229822161
Angers_jailliere_2008,M10,IC,winter,cereal,wheat_aestivum,wheat_aestivum_pea,2007-10-26,2008-07-04,4.355379188712524,132.71604938271605,0.5,0.5_0.5,90,cezanne,cezanne_lucy,cezanne,cezanne_lucy,0.5_0.5,0.18,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,2.716049382716051,1.4746227709190671,0,0.31370000000000003,0.04839310209680582,1631.112229822161
